订单编号,新单续保,起保日,保期,初始保费,批改保费,已赚保费,报案数量,累计赔付金额,赔付比例,保额,伤残,省份,城市,行业,新单承保人数,最终承保人数,30周岁以下（男）,30-39周岁（男）,40-49周岁（男）,50-59周岁（男）,60-64周岁（男）,65周岁以上（男）,30周岁以下（女）,30-39周岁（女）,40-49周岁（女）,50-59周岁（女）,60-64周岁（女）,65周岁以上（女）,一类参保,二类参保,三类参保,四类参保,五类参保,一类未参保,二类未参保,三类未参保,四类未参保,五类未参保,涉高一类参保,涉高二类参保,涉高三类参保,涉高四类参保,涉高五类参保,涉高一类未参保,涉高二类未参保,涉高三类未参保,涉高四类未参保,涉高五类未参保,涉高率,参保率,批改率
B672C4B466C24D_2,新单,2023/7/29 0:00,366,3410,0,3410,1,767,0.225,100000,十级伤残:10%,江苏省,常州市,E0492,10,10,1,3,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.9
ED15C4E4D78A42_1,新单,2023/7/31 0:00,366,14931,10484.3,25415.3,1,4200,0.165,600000,十级伤残:5%,江苏省,南通市,E04899,10,20,0,0,1,6,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,1.35
D03534245B4C5B,新单,2023/8/1 0:00,366,5800,0,5800,0,0,0,100000,十级伤残:3%,江苏省,南通市,C03311,25,25,8,9,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1.24
A2D0947C999B4B_1,新单,2023/8/2 0:00,366,8835.75,660.59,9496.34,2,14182,1.493,100000,十级伤残:3%,江苏省,苏州市,E0491,33,39,7,14,5,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0.051
3934F42BB0297F,新单,2023/8/2 0:00,366,20466,740.91,21206.91,1,15900,0.75,500000,十级伤残:10%,江苏省,苏州市,C03425,24,25,0,8,9,5,1,0,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16
A8F5E4E30C8FEB_2,新单,2023/8/3 0:00,366,28160,2189.27,30349.27,1,0,0,500000,十级伤残:10%,江苏省,常州市,M0732,22,27,1,2,2,5,0,0,2,4,5,6,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1.148
CC4E24A3CD028B_1,新单,2023/8/4 0:00,366,15948,0,15948,0,0,0,600000,十级伤残:10%,江苏省,常州市,F05165,12,12,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
A3A704D50366D6,新单,2023/8/4 0:00,366,4280,0,4280,0,0,0,200000,十级伤残:10%,江苏省,常州市,C03389,10,10,0,1,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1
49A6643004F928,续保,2023/8/5 0:00,366,50515,729.33,51244.33,1,161,0.003,1000000,十级伤残:10%,安徽省,合肥市,C03399,27,28,0,0,3,5,3,4,0,0,1,8,3,1,0,0,0,0,0,5,0,6,5,0,0,0,0,0,0,0,0,0,0,12,0.429,0,0.071
8DC874A719ECB1,新单,2023/8/5 0:00,366,10360,826.54,11186.54,0,0,0,400000,十级伤残:10%,江苏省,宿迁市,C03311,10,12,1,4,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.917
1B3D7481741010,新单,2023/8/5 0:00,366,3664.8,0,3664.8,0,0,0,300000,十级伤残:5%,浙江省,湖州市,C02041,6,6,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333
8417A4E8C36FC8,新单,2023/8/6 0:00,366,16726,0,16726,0,0,0,600000,十级伤残:10%,江苏省,无锡市,C03489,10,10,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.6
7FEC3425DFE36E,新单,2023/8/7 0:00,366,24840.22,1261.36,26101.58,0,0,0,300000,十级伤残:10%,江苏省,泰州市,C03499,21,22,0,7,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.909,0,0.182
1718D4384F52A2,新单,2023/8/9 0:00,366,9330,1452.35,10782.35,1,59569,5.525,500000,十级伤残:10%,江苏省,常州市,C02919,10,12,0,1,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
D9F064D2FE3B06_3,续保,2023/8/9 0:00,366,30444.72,0,30444.72,1,0,0,1000000,十级伤残:10%,江苏省,常州市,E0479,15,15,2,4,2,1,0,1,1,3,0,1,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.533
F9A9A4F878526E,新单,2023/8/9 0:00,184,4413.36,2126.71,6540.07,0,0,0,200000,十级伤残:5%,浙江省,台州市,C0213,12,19,1,3,6,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1.158
8B3C441641F003_2,新单,2023/8/9 0:00,184,10340.4,6439.31,16779.71,2,17928,1.068,500000,十级伤残:5%,浙江省,台州市,C0213,12,20,2,4,3,7,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1.7
E700346C09BCCC_1,续保,2023/8/10 0:00,366,60853.2,0,60853.2,1,0,0,800000,十级伤残:5%,河北省,保定市,E0479,30,30,1,5,13,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.067
ECD46430E788C0_2,新单,2023/8/10 0:00,366,11084,0,11084,1,11553,1.042,400000,十级伤残:10%,江苏省,常州市,C03521,10,10,0,4,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2E2444175B024A,续保,2023/8/11 0:00,366,6082.56,0,6082.56,0,0,0,500000,十级伤残:10%,江苏省,常州市,E05011,8,8,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCB45464797A08,新单,2023/8/11 0:00,366,7650,0,7650,1,1810,0.237,400000,十级伤残:10%,江苏省,常州市,C03484,10,10,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
664554B3A4EC56,新单,2023/8/11 0:00,366,17914,0,17914,0,0,0,500000,十级伤残:10%,上海,上海市,C03312,13,13,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1B2254A5B6E2D9,新单,2023/8/11 0:00,366,28434.2,0,28434.2,1,643,0.023,600000,十级伤残:10%,江苏省,常州市,C03484,17,17,2,6,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0.176
3CC9B481896F76_1,续保,2023/8/12 0:00,366,32552,1840.37,34392.37,0,0,0,1000000,十级伤残:10%,江苏省,常州市,L07113,13,14,1,4,4,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,7.786
CA87A4BED0DB45,新单,2023/8/13 0:00,366,55935,789.15,56724.15,2,170183,3,600000,十级伤残:10%,江苏省,苏州市,C01751,55,56,2,4,4,15,13,0,0,1,3,13,0,1,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482
F5C5D45F0EFB84_1,新单,2023/8/13 0:00,366,21336,0,21336,2,7000,0.328,300000,十级伤残:10%,江苏省,苏州市,C01751,42,42,1,2,8,22,0,1,0,2,5,0,0,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6150840BE43014_1,新单,2023/8/13 0:00,366,21743.8,11703.61,33447.41,3,3500,0.105,600000,十级伤残:10%,江苏省,泰州市,C03429,13,24,0,4,4,6,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0.375
BD19A40B4D1F99,新单,2023/8/13 0:00,366,14260.8,0,14260.8,4,32500,2.279,200000,十级伤残:10%,江苏省,泰州市,C03429,24,24,2,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
E02954A83110F0,新单,2023/8/15 0:00,366,20700,0,20700,0,0,0,500000,十级伤残:10%,江苏省,无锡市,C03484,15,15,0,5,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
67CBC43F5875D1_1,新单,2023/8/15 0:00,366,12375.26,2630.92,13690.72,0,0,0,500000,十级伤残:10%,江苏省,徐州市,I06519,13,15,3,8,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,0.867,0.8,1.467
253AD4A8D1061F,新单,2023/8/15 0:00,184,23124.15,0,23124.15,0,0,0,500000,十级伤残:10%,浙江省,湖州市,C03312,27,27,6,6,5,5,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0.889
A685140376CF48,新单,2023/8/15 0:00,366,17914,858.42,18772.42,2,3550,0.189,500000,十级伤残:10%,江苏省,常州市,C03499,13,17,7,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0.471
1605A43FFE8DC5,新单,2023/8/17 0:00,366,17304,355.72,17659.72,0,0,0,500000,十级伤残:5%,江苏省,常州市,E05011,21,22,3,6,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318
3856B4F4EA6621,续保,2023/8/17 0:00,366,14458.5,5609.6,20068.1,0,0,0,600000,十级伤残:5%,四川省,成都市,E0492,10,14,1,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1.5
41A7A40B430016_1,新单,2023/8/18 0:00,366,23354,2342.87,25696.87,1,0,0,500000,十级伤残:10%,浙江省,宁波市,C03499,22,31,6,4,1,0,0,0,3,6,7,4,0,0,0,0,0,0,0,10,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0.516
E27AB4B3BD6EEF_2,新单,2023/8/18 0:00,366,6948,0,6948,0,0,0,400000,十级伤残:10%,浙江省,绍兴市,C03899,10,10,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2A096450151900,新单,2023/8/18 0:00,184,13927.2,9627.92,23555.12,1,744,0.032,800000,十级伤残:10%,浙江省,宁波市,C03399,10,18,3,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.5
6AF3F4C4FC1572_1,新单,2023/8/18 0:00,366,26950,2342.89,29292.89,1,89186,3.045,800000,十级伤残:10%,江苏省,无锡市,C03429,11,15,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0.4
F0E7344A32780D_3,新单,2023/8/19 0:00,366,41190,5960.18,47150.18,7,82887,1.758,600000,十级伤残:10%,江苏省,无锡市,C03489,25,31,5,7,4,10,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2.581
3D5D94BB2304FD,续保,2023/8/19 0:00,366,35530,5431.85,40961.85,8,91305,2.229,500000,十级伤残:5%,重庆,重庆市,E04999,22,29,8,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0.103
015CC4B7331B4D_1,新单,2023/8/19 0:00,184,8200,4759.54,12959.54,0,0,0,500000,十级伤残:5%,江苏省,常州市,E0479,10,16,2,4,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.5
95ADA4390E91BC_2,续保,2023/8/19 0:00,366,32412,0,32412,0,0,0,1000000,十级伤残:5%,福建省,厦门市,G0591,12,12,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
78E4B4995BC8BF_2,续保,2023/8/19 0:00,366,48618,0,48618,0,0,0,1000000,十级伤残:5%,福建省,厦门市,F05199,18,18,2,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
42C914E964010D_1,新单,2023/8/19 0:00,366,20324,0,20324,0,0,0,800000,十级伤残:5%,浙江省,杭州市,C03399,10,10,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0
B2CFB49A207264_3,新单,2023/8/19 0:00,366,15158,3140.04,18298.04,0,0,0,500000,十级伤残:10%,江苏省,常州市,C03499,11,15,2,3,1,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
9F9F646C354A96,新单,2023/8/20 0:00,366,11370,0,11370,0,0,0,500000,十级伤残:10%,浙江省,嘉兴市,C03429,10,10,2,0,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.9
F27024560CD5E9,新单,2023/8/20 0:00,366,49070.4,22752.05,71822.45,1,1086,0.015,800000,十级伤残:10%,安徽省,芜湖市,C03484,20,30,0,1,1,7,0,0,1,1,8,11,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,6.467
7871449DDA4519,续保,2023/8/22 0:00,184,4725,0,4725,0,0,0,500000,十级伤残:5%,辽宁省,阜新市,C02659,5,5,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D1114120DFC81,新单,2023/8/22 0:00,366,12883.2,2409.37,15292.57,0,0,0,800000,十级伤残:10%,江苏省,常州市,F05174,10,11,0,3,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.364,0,0.273
8BDF748AAAF010_1,新单,2023/8/23 0:00,366,16536,0,16536,1,0,0,500000,十级伤残:10%,江苏省,南京市,M07475,12,12,1,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2.583
799194BC7B1CB8,续保,2023/8/23 0:00,366,20257.6,0,20257.6,1,57000,2.814,800000,十级伤残:10%,江苏省,盐城市,C0421,10,10,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
B6B994FE37297F_2,新单,2023/8/23 0:00,366,41366,0,41366,3,18450,0.446,600000,十级伤残:10%,浙江省,嘉兴市,C03429,26,26,1,4,7,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0.385
CF3374A0A793A7_1,续保,2023/8/23 0:00,184,4400,0,4400,0,0,0,500000,十级伤残:5%,北京,北京市,C03595,5,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75EF8402597FEA_2,新单,2023/8/24 0:00,184,43727.85,0,43727.85,2,19500,0.446,300000,十级伤残:10%,上海,上海市,C03499,81,81,6,15,8,32,2,0,0,1,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,0.914
F527F4BE510D9B_2,续保,2023/8/24 0:00,366,57162,6503.76,63665.76,1,0,0,1000000,十级伤残:10%,重庆,重庆市,C03489,24,28,7,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,20,0.714,0,4.5
59DCC4E5460565,新单,2023/8/24 0:00,366,8310,3535.14,11845.14,3,0,0,500000,十级伤残:10%,江苏省,无锡市,C02831,10,19,1,5,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158
3237B439BBB178_1,续保,2023/8/25 0:00,366,32164,0,32164,0,0,0,500000,十级伤残:10%,浙江省,宁波市,C03399,22,22,8,4,2,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1.364
2A1F54619872FE,新单,2023/8/25 0:00,366,1800,0,1800,0,0,0,100000,十级伤残:10%,江苏省,南通市,L07211,18,18,1,2,4,3,0,0,6,2,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A62849F8383F0_1,新单,2023/8/26 0:00,366,35465,0,35465,2,0,0,300000,十级伤残:10%,江苏省,无锡市,C03429,41,41,4,13,7,9,1,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0.22
C00B4451A8AB9D_2,续保,2023/8/26 0:00,366,13072.5,0,13072.5,0,0,0,500000,十级伤残:5%,浙江省,湖州市,M0759,13,13,1,2,3,0,1,1,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
EE5294BA6A9FCC_2,续保,2023/8/26 0:00,366,24920,0,24920,0,0,0,1000000,十级伤残:3%,上海,上海市,L07299,14,14,0,4,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0.786
D967547C30C65F_1,新单,2023/8/26 0:00,366,23000,0,23000,1,13910,0.605,800000,十级伤残:5%,安徽省,滁州市,C03423,10,10,0,0,1,2,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.2
B55294445198CB_1,新单,2023/8/27 0:00,366,70929.69,7799.16,77877.77,8,45500,0.584,300000,十级伤残:10%,上海,上海市,C03529,84,96,18,23,32,14,0,0,0,5,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0.969,0,0.708
CAD624EA06D05B_1,新单,2023/8/29 0:00,366,28500,0,28500,0,0,0,800000,十级伤残:10%,江苏省,苏州市,C03422,15,15,2,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0.733
92E364FB8C977C,新单,2023/8/30 0:00,366,5939,0,5939,0,0,0,200000,十级伤残:10%,浙江省,绍兴市,C03899,10,10,0,3,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.4
DBBB34D10E56A2,新单,2023/8/30 0:00,366,8610,0,8610,0,0,0,200000,十级伤残:10%,浙江省,绍兴市,C03899,14,14,0,4,3,0,2,0,0,0,0,4,1,0,0,0,0,0,0,1,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.214
861384638E4F7A_1,新单,2023/8/30 0:00,366,16383.22,0,16383.22,3,1794,0.11,500000,十级伤残:5%,江苏省,常州市,E0509,14,14,0,0,1,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1.214
C6FFC4F661BA64_2,新单,2023/8/30 0:00,366,15368.4,2065.28,17433.68,1,24809,1.423,200000,十级伤残:10%,安徽省,滁州市,C0367,27,35,3,2,4,9,0,0,0,1,12,4,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0.457
D99E54C608D845_1,新单,2023/8/31 0:00,366,21007.85,409.56,21417.41,0,0,0,500000,十级伤残:10%,上海,上海市,C03441,29,30,2,6,4,8,5,0,0,1,3,1,0,0,2,0,2,7,10,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.7,0.167
F919A4A8D69086_1,续保,2023/8/31 0:00,366,15350,465.53,15815.53,0,0,0,500000,十级伤残:10%,上海,上海市,E05011,10,11,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0.182
264B7486348459_5,续保,2023/8/31 0:00,366,58880,13569.76,72449.76,0,0,0,1000000,十级伤残:10%,上海,上海市,E05011,20,30,1,11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0.633
8FE3D4C052F7E9_2,续保,2023/8/31 0:00,366,31287,0,31287,0,0,0,1000000,十级伤残:5%,上海,上海市,E0479,13,13,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.769,0,0.692
D52C94E2154E18,新单,2023/8/31 0:00,366,6864,0,6864,0,0,0,200000,十级伤残:10%,安徽省,芜湖市,C03329,13,13,0,7,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0.077
2C5C448943256A,新单,2023/8/31 0:00,366,12740,0,12740,1,1611,0.126,500000,十级伤残:10%,安徽省,芜湖市,C03329,10,10,0,0,0,0,1,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.4
559CE459F58DAC_1,新单,2023/9/1 0:00,366,12735,0,12735,1,0,0,500000,十级伤残:10%,浙江省,湖州市,C03422,10,10,2,2,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.3
AA7D048FDAF74D_3,新单,2023/9/1 0:00,366,50873.7,0,50873.7,3,31319,0.616,300000,十级伤残:10%,浙江省,湖州市,C03422,69,69,9,5,5,10,0,0,2,3,13,22,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,1.116
AFD614A4A46C48_2,新单,2023/9/1 0:00,366,8860,0,8860,1,1500,0.169,500000,十级伤残:10%,安徽省,滁州市,C02926,10,10,0,3,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
E05104CF88583C_4,新单,2023/9/1 0:00,366,14473.71,363,14836.71,2,6175,0.416,100000,十级伤残:10%,安徽省,滁州市,C02926,73,83,4,5,3,3,0,2,2,4,14,35,10,1,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229
C632043D5C4890_1,新单,2023/9/1 0:00,366,85360.8,13815.87,99176.67,5,218729,2.205,800000,十级伤残:5%,江苏省,常州市,C03561,42,60,3,5,7,19,15,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,0.467
D7F30483A435EB,新单,2023/9/1 0:00,366,17129,0,17129,0,0,0,500000,十级伤残:10%,浙江省,嘉兴市,C03333,14,14,2,0,0,1,0,0,0,2,3,5,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1.429
