订单编号,新单续保,起保日,保期,初始保费,批改保费,已赚保费,报案数量,累计赔付金额,赔付比例,保额,伤残,省份,城市,新单承保人数,最终承保人数,30周岁以下（男）,30-39周岁（男）,40-49周岁（男）,50-59周岁（男）,60-64周岁（男）,65周岁以上（男）,30周岁以下（女）,30-39周岁（女）,40-49周岁（女）,50-59周岁（女）,60-64周岁（女）,65周岁以上（女）,一类参保,二类参保,三类参保,四类参保,五类参保,一类未参保,二类未参保,三类未参保,四类未参保,五类未参保,涉高一类参保,涉高二类参保,涉高三类参保,涉高四类参保,涉高五类参保,涉高一类未参保,涉高二类未参保,涉高三类未参保,涉高四类未参保,涉高五类未参保,涉高率,参保率,批改率,行业1级,行业2级,行业3级,行业4级
B672C4B466C24D_2,新单,2023-07-29 00:00:00,366,3410.0,0.0,3410.0,1,767,0.225,100000,十级伤残:10%,江苏省,常州市,10,10,1,3,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9,E|建筑业,E049|建筑安装业,E0492|管道和设备安装,
ED15C4E4D78A42_1,新单,2023-07-31 00:00:00,366,14931.0,10484.3,25415.3,1,4200,0.165,600000,十级伤残:5%,江苏省,南通市,10,20,0,0,1,6,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.0,0.0,1.35,E|建筑业,E048|土木工程建筑业,E0489|其他土木工程建筑,E04899|其他土木工程建筑施工
D03534245B4C5B,新单,2023-08-01 00:00:00,366,5800.0,0.0,5800.0,0,0,0.0,100000,十级伤残:3%,江苏省,南通市,25,25,8,9,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.0,0.0,1.24,C|制造业,C033|金属制品业,C0331|结构性金属制品制造,C03311|金属结构制造
A2D0947C999B4B_1,新单,2023-08-02 00:00:00,366,8835.75,660.59,9496.34,2,14182,1.493,100000,十级伤残:3%,江苏省,苏州市,33,39,7,14,5,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1.0,0.0,0.051,E|建筑业,E049|建筑安装业,E0491|电气安装,
3934F42BB0297F,新单,2023-08-02 00:00:00,366,20466.0,740.91,21206.91,1,15900,0.75,500000,十级伤残:10%,江苏省,苏州市,24,25,0,8,9,5,1,0,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.16,C|制造业,C034|通用设备制造业,C0342|金属加工机械制造,C03425|机床功能部件及附件制造
A8F5E4E30C8FEB_2,新单,2023-08-03 00:00:00,366,28160.0,2189.27,30349.27,1,0,0.0,500000,十级伤残:10%,江苏省,常州市,22,27,1,2,2,5,0,0,2,4,5,6,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.148,M|科学研究和技术服务业,M073|研究和试验发展,M0732|工程和技术研究和试验发展,
CC4E24A3CD028B_1,新单,2023-08-04 00:00:00,366,15948.0,0.0,15948.0,0,0,0.0,600000,十级伤残:10%,江苏省,常州市,12,12,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,F|批发和零售业,F051|批发业,F0516|矿产品、建材及化工产品批发,F05165|建材批发
A3A704D50366D6,新单,2023-08-04 00:00:00,366,4280.0,0.0,4280.0,0,0,0.0,200000,十级伤残:10%,江苏省,常州市,10,10,0,1,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,C|制造业,C033|金属制品业,C0338|金属制日用品制造,C03389|其他金属制日用品制造
49A6643004F928,续保,2023-08-05 00:00:00,366,50515.0,729.33,51244.33,1,161,0.003,1000000,十级伤残:10%,安徽省,合肥市,27,28,0,0,3,5,3,4,0,0,1,8,3,1,0,0,0,0,0,5,0,6,5,0,0,0,0,0,0,0,0,0,0,12,0.429,0.0,0.071,C|制造业,C033|金属制品业,C0339|铸造及其他金属制品制造,C03399|其他未列明金属制品制造
8DC874A719ECB1,新单,2023-08-05 00:00:00,366,10360.0,826.54,11186.54,0,0,0.0,400000,十级伤残:10%,江苏省,宿迁市,10,12,1,4,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.917,C|制造业,C033|金属制品业,C0331|结构性金属制品制造,C03311|金属结构制造
1B3D7481741010,新单,2023-08-05 00:00:00,366,3664.8,0.0,3664.8,0,0,0.0,300000,十级伤残:5%,浙江省,湖州市,6,6,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.333,C|制造业,C020|木材加工和木、竹、藤、棕、草制品业,C0204|竹、藤、掠、草等制品制造,C02041|竹制品制造
8417A4E8C36FC8,新单,2023-08-06 00:00:00,366,16726.0,0.0,16726.0,0,0,0.0,600000,十级伤残:10%,江苏省,无锡市,10,10,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,C|制造业,C034|通用设备制造业,C0348|通用零部件制造,C03489|其他通用零部件制造
7FEC3425DFE36E,新单,2023-08-07 00:00:00,366,24840.22,1261.36,26101.58,0,0,0.0,300000,十级伤残:10%,江苏省,泰州市,21,22,0,7,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.909,0.0,0.182,C|制造业,C034|通用设备制造业,C0349|其他通用设备制造业,C03499|其他未列明通用设备制造业
1718D4384F52A2,新单,2023-08-09 00:00:00,366,9330.0,1452.35,10782.35,1,59569,5.525,500000,十级伤残:10%,江苏省,常州市,10,12,0,1,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,C|制造业,C029|橡胶和塑料制品业,C0291|橡胶制品业,C02919|其他橡胶制品制造
D9F064D2FE3B06_3,续保,2023-08-09 00:00:00,366,30444.72,0.0,30444.72,1,0,0.0,1000000,十级伤残:10%,江苏省,常州市,15,15,2,4,2,1,0,1,1,3,0,1,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.533,E|建筑业,E047|房屋建筑业,E0479|其他房屋建筑业,
F9A9A4F878526E,新单,2023-08-09 00:00:00,184,4413.36,2126.71,6540.070000000001,0,0,0.0,200000,十级伤残:5%,浙江省,台州市,12,19,1,3,6,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.158,C|制造业,C021|家具制造业,C0213|金属家具制造,
8B3C441641F003_2,新单,2023-08-09 00:00:00,184,10340.4,6439.31,16779.71,2,17928,1.068,500000,十级伤残:5%,浙江省,台州市,12,20,2,4,3,7,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.7,C|制造业,C021|家具制造业,C0213|金属家具制造,
E700346C09BCCC_1,续保,2023-08-10 00:00:00,366,60853.2,0.0,60853.2,1,0,0.0,800000,十级伤残:5%,河北省,保定市,30,30,1,5,13,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.067,E|建筑业,E047|房屋建筑业,E0479|其他房屋建筑业,
ECD46430E788C0_2,新单,2023-08-10 00:00:00,366,11084.0,0.0,11084.0,1,11553,1.042,400000,十级伤残:10%,江苏省,常州市,10,10,0,4,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C|制造业,C035|专用设备制造业,C0352|化工、木材、非金属加工专用设备制造,C03521|炼油、化工生产专用设备制造
2E2444175B024A,续保,2023-08-11 00:00:00,366,6082.56,0.0,6082.56,0,0,0.0,500000,十级伤残:10%,江苏省,常州市,8,8,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,E|建筑业,E050|建筑装饰、装修和其他建筑业,E0501|建筑装饰和装修业,E05011|公共建筑装饰和装修
FCB45464797A08,新单,2023-08-11 00:00:00,366,7650.0,0.0,7650.0,1,1810,0.237,400000,十级伤残:10%,江苏省,常州市,10,10,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,C|制造业,C034|通用设备制造业,C0348|通用零部件制造,C03484|机械零部件加工
664554B3A4EC56,新单,2023-08-11 00:00:00,366,17914.0,0.0,17914.0,0,0,0.0,500000,十级伤残:10%,上海,上海市,13,13,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C|制造业,C033|金属制品业,C0331|结构性金属制品制造,C03312|金属门窗制造
1B2254A5B6E2D9,新单,2023-08-11 00:00:00,366,28434.2,0.0,28434.2,1,643,0.023,600000,十级伤残:10%,江苏省,常州市,17,17,2,6,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.176,C|制造业,C034|通用设备制造业,C0348|通用零部件制造,C03484|机械零部件加工
3CC9B481896F76_1,续保,2023-08-12 00:00:00,366,32552.0,1840.37,34392.37,0,0,0.0,1000000,十级伤残:10%,江苏省,常州市,13,14,1,4,4,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.0,0.0,7.786,L|租赁和商务服务业,L071|租赁业,L0711|机械设备经营租赁,L07113|建筑工程机械与设备经营租赁
CA87A4BED0DB45,新单,2023-08-13 00:00:00,366,55935.0,789.15,56724.15,2,170183,3.0,600000,十级伤残:10%,江苏省,苏州市,55,56,2,4,4,15,13,0,0,1,3,13,0,1,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.482,C|制造业,C017|纺织业,C0175|化纤织造及印染精加工,C01751|化纤织造加工
F5C5D45F0EFB84_1,新单,2023-08-13 00:00:00,366,21336.0,0.0,21336.0,2,32500,1.523,300000,十级伤残:10%,江苏省,苏州市,42,41,1,2,8,21,0,1,0,2,5,0,0,1,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C|制造业,C017|纺织业,C0175|化纤织造及印染精加工,C01751|化纤织造加工
6150840BE43014_1,新单,2023-08-13 00:00:00,366,21743.8,11703.61,33447.41,3,3500,0.105,600000,十级伤残:10%,江苏省,泰州市,13,24,0,4,4,6,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.375,C|制造业,C034|通用设备制造业,C0342|金属加工机械制造,C03429|其他金属加工机械制造
BD19A40B4D1F99,新单,2023-08-13 00:00:00,366,14260.8,0.0,14260.8,4,32500,2.279,200000,十级伤残:10%,江苏省,泰州市,24,24,2,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C|制造业,C034|通用设备制造业,C0342|金属加工机械制造,C03429|其他金属加工机械制造
E02954A83110F0,新单,2023-08-15 00:00:00,366,20700.0,0.0,20700.0,0,0,0.0,500000,十级伤残:10%,江苏省,无锡市,15,15,0,5,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C|制造业,C034|通用设备制造业,C0348|通用零部件制造,C03484|机械零部件加工
67CBC43F5875D1_1,新单,2023-08-15 00:00:00,366,12375.26,2630.92,13690.72,0,0,0.0,500000,十级伤残:10%,江苏省,徐州市,13,15,3,8,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,0.867,0.8,1.467,I|信息传输、软件和信息技术服务业,I065|软件和信息技术服务业,I0651|软件开发,I06519|其他软件开发
253AD4A8D1061F,新单,2023-08-15 00:00:00,184,23124.15,0.0,23124.15,0,0,0.0,500000,十级伤残:10%,浙江省,湖州市,27,27,6,6,5,5,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.889,C|制造业,C033|金属制品业,C0331|结构性金属制品制造,C03312|金属门窗制造
A685140376CF48,新单,2023-08-15 00:00:00,366,17914.0,858.42,18772.42,2,3550,0.189,500000,十级伤残:10%,江苏省,常州市,13,17,7,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.471,C|制造业,C034|通用设备制造业,C0349|其他通用设备制造业,C03499|其他未列明通用设备制造业
1605A43FFE8DC5,新单,2023-08-17 00:00:00,366,17304.0,355.72,17659.72,0,0,0.0,500000,十级伤残:5%,江苏省,常州市,21,22,3,6,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.318,E|建筑业,E050|建筑装饰、装修和其他建筑业,E0501|建筑装饰和装修业,E05011|公共建筑装饰和装修
3856B4F4EA6621,续保,2023-08-17 00:00:00,366,14458.5,5609.6,20068.1,0,0,0.0,600000,十级伤残:5%,四川省,成都市,10,14,1,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.0,0.0,1.5,E|建筑业,E049|建筑安装业,E0492|管道和设备安装,
41A7A40B430016_1,新单,2023-08-18 00:00:00,366,23354.0,2342.87,25696.869999999995,1,0,0.0,500000,十级伤残:10%,浙江省,宁波市,22,31,6,4,1,0,0,0,3,6,7,4,0,0,0,0,0,0,0,10,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.516,C|制造业,C034|通用设备制造业,C0349|其他通用设备制造业,C03499|其他未列明通用设备制造业
E27AB4B3BD6EEF_2,新单,2023-08-18 00:00:00,366,6948.0,0.0,6948.0,0,0,0.0,400000,十级伤残:10%,浙江省,绍兴市,10,10,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,C|制造业,C038|电气机械和器材制造业,C0389|其他电气机械及器材制造,C03899|其他未列明电气机械及器材制造
2A096450151900,新单,2023-08-18 00:00:00,184,13927.2,9627.92,23555.120000000003,1,744,0.032,800000,十级伤残:10%,浙江省,宁波市,10,18,3,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,C|制造业,C033|金属制品业,C0339|铸造及其他金属制品制造,C03399|其他未列明金属制品制造
6AF3F4C4FC1572_1,新单,2023-08-18 00:00:00,366,26950.0,2342.89,29292.89,1,89186,3.045,800000,十级伤残:10%,江苏省,无锡市,11,15,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,C|制造业,C034|通用设备制造业,C0342|金属加工机械制造,C03429|其他金属加工机械制造
F0E7344A32780D_3,新单,2023-08-19 00:00:00,366,41190.0,5960.18,47150.18,7,82887,1.758,600000,十级伤残:10%,江苏省,无锡市,25,31,5,7,4,10,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.581,C|制造业,C034|通用设备制造业,C0348|通用零部件制造,C03489|其他通用零部件制造
3D5D94BB2304FD,续保,2023-08-19 00:00:00,366,35530.0,5431.85,40961.850000000006,8,91305,2.229,500000,十级伤残:5%,重庆,重庆市,22,29,8,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.103,E|建筑业,E049|建筑安装业,E0499|其他建筑安装业,E04999|其他建筑安装
015CC4B7331B4D_1,新单,2023-08-19 00:00:00,184,8200.0,4759.54,12959.54,0,0,0.0,500000,十级伤残:5%,江苏省,常州市,10,16,2,4,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,E|建筑业,E047|房屋建筑业,E0479|其他房屋建筑业,
95ADA4390E91BC_2,续保,2023-08-19 00:00:00,366,32412.0,0.0,32412.0,0,0,0.0,1000000,十级伤残:5%,福建省,厦门市,12,12,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,G|交通运输、仓储和邮政业,G059|装卸搬运和仓储业,G0591|装卸搬运,
78E4B4995BC8BF_2,续保,2023-08-19 00:00:00,366,48618.0,0.0,48618.0,0,0,0.0,1000000,十级伤残:5%,福建省,厦门市,18,18,2,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,F|批发和零售业,F051|批发业,F0519|其他批发业,F05199|其他未列明批发业
42C914E964010D_1,新单,2023-08-19 00:00:00,366,20324.0,0.0,20324.0,0,0,0.0,800000,十级伤残:5%,浙江省,杭州市,10,10,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.0,0.0,0.0,C|制造业,C033|金属制品业,C0339|铸造及其他金属制品制造,C03399|其他未列明金属制品制造
B2CFB49A207264_3,新单,2023-08-19 00:00:00,366,15158.0,3140.04,18298.04,0,0,0.0,500000,十级伤残:10%,江苏省,常州市,11,15,2,3,1,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C|制造业,C034|通用设备制造业,C0349|其他通用设备制造业,C03499|其他未列明通用设备制造业
9F9F646C354A96,新单,2023-08-20 00:00:00,366,11370.0,0.0,11370.0,0,0,0.0,500000,十级伤残:10%,浙江省,嘉兴市,10,10,2,0,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9,C|制造业,C034|通用设备制造业,C0342|金属加工机械制造,C03429|其他金属加工机械制造
F27024560CD5E9,新单,2023-08-20 00:00:00,366,49070.4,22752.05,71822.45,1,1086,0.015,800000,十级伤残:10%,安徽省,芜湖市,20,30,0,1,1,7,0,0,1,1,8,11,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.467,C|制造业,C034|通用设备制造业,C0348|通用零部件制造,C03484|机械零部件加工
7871449DDA4519,续保,2023-08-22 00:00:00,184,4725.0,0.0,4725.0,0,0,0.0,500000,十级伤残:5%,辽宁省,阜新市,5,5,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C|制造业,C026|化学原料和化学制品制造业,C0265|合成材料制造,C02659|其他合成材料制造
9D1114120DFC81,新单,2023-08-22 00:00:00,366,12883.2,2409.37,15292.57,0,0,0.0,800000,十级伤残:10%,江苏省,常州市,10,11,0,3,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.364,0.0,0.273,F|批发和零售业,F051|批发业,F0517|机械设备、五金产品及电子产品批发,F05174|五金产品批发
8BDF748AAAF010_1,新单,2023-08-23 00:00:00,366,16536.0,0.0,16536.0,1,0,0.0,500000,十级伤残:10%,江苏省,南京市,12,12,1,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.583,M|科学研究和技术服务业,M074|专业技术服务业,M0747|地质勘查,M07475|地质勘查技术服务
799194BC7B1CB8,续保,2023-08-23 00:00:00,366,20257.6,0.0,20257.6,1,57000,2.814,800000,十级伤残:10%,江苏省,盐城市,10,10,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C|制造业,C042|废弃资源综合利用业,C0421|金属废料和碎屑加工处理,
B6B994FE37297F_2,新单,2023-08-23 00:00:00,366,41366.0,0.0,41366.0,3,8450,0.204,600000,十级伤残:10%,浙江省,嘉兴市,26,26,1,4,7,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.385,C|制造业,C034|通用设备制造业,C0342|金属加工机械制造,C03429|其他金属加工机械制造
CF3374A0A793A7_1,续保,2023-08-23 00:00:00,184,4400.0,0.0,4400.0,0,0,0.0,500000,十级伤残:5%,北京,北京市,5,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C|制造业,C035|专用设备制造业,C0359|环保、邮政、社会公共服务及其他专 用设备制造,C03595|社会公共安全设备及器材制造
75EF8402597FEA_2,新单,2023-08-24 00:00:00,184,43727.85,0.0,43727.85,2,19500,0.446,300000,十级伤残:10%,上海,上海市,81,81,6,15,8,32,2,0,0,1,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1.0,0.0,0.914,C|制造业,C034|通用设备制造业,C0349|其他通用设备制造业,C03499|其他未列明通用设备制造业
F527F4BE510D9B_2,续保,2023-08-24 00:00:00,366,57162.0,6503.76,63665.76,1,0,0.0,1000000,十级伤残:10%,重庆,重庆市,24,28,7,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,20,0.714,0.0,4.5,C|制造业,C034|通用设备制造业,C0348|通用零部件制造,C03489|其他通用零部件制造
59DCC4E5460565,新单,2023-08-24 00:00:00,366,8310.0,3535.14,11845.14,3,0,0.0,500000,十级伤残:10%,江苏省,无锡市,10,19,1,5,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.158,C|制造业,C028|化学纤维制造业,C0283|生物基材料制造,C02831|生物基化学纤维制造
